pozo,Qi_hist,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,estado_actual,dias_perforacion,Np,Gp,Cp,Wp,tipo
LAS CANAS-2,0.025110796908,0.024916506794,2020-02-01,46.0,853.0,VERTICAL,2016-05-01,PRODUCTOR,22.0,0.021698902439592004,0.010617722577788398,0.0,0.015730678297178103,BAJA
CASTILLO DE TEAYO-16,0.0212246167998,0.0122139971517,2016-04-01,3.0,2280.0,VERTICAL,2016-01-01,INACTIVO,24.0,0.002244695415762,0.0008320806202970999,0.0,0.002680527236823,BAJA
CASTILLO DE TEAYO-24,0.0696139147711,0.0277323562112,2017-05-01,16.0,2360.0,VERTICAL,2016-01-01,INACTIVO,33.0,0.015859346926938,0.016548417718809,0.0,0.014298283946255999,MEDIA
CASTILLO DE TEAYO-14,0.0342799306574,0.0116388295295,2017-08-01,19.0,2302.0,VERTICAL,2016-01-01,INACTIVO,20.0,0.013913682988286104,0.006114606228332401,0.0,0.0030951874262548505,BAJA
MIQUETLA-677,0.067328,0.0136164,2020-02-01,115.0,2241.0,VERTICAL,2010-09-01,PRODUCTOR,24.0,0.06380208003843242,0.20816324193489233,0.0,0.008794707386977886,MEDIA
MIQUETLA-356,0.033322000000000004,0.006944,2018-10-01,94.0,2369.0,VERTICAL,2011-01-01,INACTIVO,21.0,0.03729918661852203,0.03255749182984695,0.0,0.01550903652954848,BAJA
CASTILLO DE TEAYO-23,0.020774667886,0.000931575432784,2017-07-01,18.0,2305.0,VERTICAL,2016-01-01,INACTIVO,32.0,0.00862012082984652,0.033670355910938705,0.0,0.0017538165782684403,BAJA
CASTILLO DE TEAYO-19,0.0141830115012,0.00704910120783,2016-04-01,3.0,2218.0,VERTICAL,2016-01-01,INACTIVO,18.0,0.0011809981185936,0.0008824585164056999,0.0,9.7390451613e-07,BAJA
MIQUETLA-744,0.022905,0.00551745517241,2020-02-01,108.0,1850.0,DIRECCIONAL,2011-04-01,PRODUCTOR,24.0,0.012240389287430695,0.010556105380267201,0.0,0.00575072116768635,BAJA
MIQUETLA-3371,0.032562,0.0159453172414,2020-02-01,108.0,2239.0,VERTICAL,2011-04-01,PRODUCTOR,33.0,0.0404677184216172,0.059628461353448105,0.0,0.003701951455197492,BAJA
CASTILLO DE TEAYO-22A,0.0180290670095,0.008275720281020001,2016-03-01,2.0,2259.7,VERTICAL,2016-01-01,INACTIVO,37.0,0.0013156163454485998,0.004269439414746,0.0,0.0037569970333704,BAJA
MIQUETLA-3134,0.035017,0.0141771870968,2019-03-01,76.0,1870.0,DIRECCIONAL,2012-12-01,INACTIVO,,0.029441846033967677,0.035307709236632255,0.0,0.007036634471700603,BAJA
MIQUETLA-829,0.719271,0.0158510689655,2020-02-01,64.0,2114.0,DIRECCIONAL,2014-11-01,PRODUCTOR,14.0,0.260395102059234,0.30970058004503487,0.0,0.01741230036927165,ALTA
MIQUETLA-553,0.110849,0.018511555172400003,2020-02-01,62.0,2142.0,DIRECCIONAL,2015-01-01,PRODUCTOR,13.0,0.0665140331044626,0.09893423192636586,0.0,0.004281378140833528,MEDIA
MIQUETLA-815,0.04382,0.006432603448279999,2020-02-01,61.0,2120.0,DIRECCIONAL,2015-02-01,PRODUCTOR,11.0,0.02175141405699211,0.07075423963166398,0.0,0.00189073251913044,BAJA
