pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,tipo
MIQUETLA-95,0.097282,0.025840558118749194,9.026455590219639e-08,0.0015514303800838024,0.0019270791325888973,0.6598533782906848,0.026626483359146295,0.002222048414807079,0.0021855286253236123,0.0006003535100676026,0.025840563006047295,0.0015514196873683188,0.0017880182375777252,0.00029049711158735976,0.00975451145889,2020-02-01,573.0,1978.0,VERTICAL,1973-01-01,0.059610101501482715,0.3572927908854947,0.004659257612007268,5e-45,0.5,10.0,PRODUCTOR,0.05395429149744466,0.05395429149461134,0.05413128047846491,0.24977024615056181,0.2491386699770665,0.2506174890831888,0.1557526779604638,0.23120739512651522,0.0,0.006527995768680285,MEDIA
MIQUETLA-60,0.120318,0.11230148991656368,0.9999999999999999,0.01363512216201453,0.01926171355869334,0.7104297645028234,0.11229918799338383,0.013634667709662537,0.01913943018792922,0.0032245616971574237,0.12025925097656248,10.0,0.024965066872807216,0.0,0.0246417751951,2020-02-01,573.0,2112.5,VERTICAL,1973-01-01,0.011816621964832533,0.7488201137699104,9.755651065566715e-21,5e-45,0.5,10.0,PRODUCTOR,0.07853007505943078,0.046377567929725,0.04637756792916073,0.028758963175578644,0.010885988495839848,0.010885988497040689,0.0716363692905438,0.04537582834667132,0.0,0.030600616672220582,MEDIA
MIQUETLA-107,0.135738,0.04294999592345519,0.9999999999999999,0.005244858503007401,0.003505162338890823,0.5014292504148035,0.042949108465342625,0.005244565564983838,0.0028243047429810514,0.0007907070950065812,0.03464435598443154,0.002089764231686578,0.0019774535794435345,0.00023825390029694164,0.00861858885707,2020-02-01,573.0,2064.0,VERTICAL,1973-01-01,0.16277996157335697,0.9999999999999999,0.025936906825050284,5e-45,0.5,10.0,PRODUCTOR,0.09949469245349574,0.09587496181492454,0.0958749617382552,0.6650109957951688,0.5674530761137953,0.5674530762228944,0.2513987804170409,0.430808068380462,0.0,0.017921112160923115,MEDIA
MIQUETLA-61,0.115912,0.11571375808928425,0.9999999999999999,1.7274315635794792,0.009656423665437333,0.9946574560272328,0.11571376536875987,1.7274320756344559,0.009592538906872146,0.9843871134498481,0.11585540234375,10.0,0.009806778942019975,0.0,0.00622003686767,2020-02-01,572.0,2120.4,VERTICAL,1973-02-01,0.031430782417300594,0.9999999897417664,0.002289575127919437,5e-45,0.5,10.0,PRODUCTOR,0.007309141404541128,0.006993536748668509,0.0069935367486624305,0.04241995016561556,0.018726928606207203,0.018726928606247695,0.022772090010198306,0.038844615481681506,0.0,0.009528067719725255,MEDIA
MIQUETLA-62,0.112202,0.108374810081355,0.9999999999999999,0.07197028144061399,0.010633515857710397,0.2321343485791536,0.10837510530499656,0.0719707367584447,0.010594153004685112,0.0113689051175328,0.1121472138671875,10.0,0.012745827927732847,0.0,0.00373014493791,2020-02-01,571.0,2098.0,VERTICAL,1973-03-01,0.016463552439458042,0.9999999999999999,8.150905542133364e-16,5e-45,0.5,10.0,INACTIVO,0.03330350656049178,0.023073006507241034,0.02307300650654691,0.27721852609553865,0.22111147056969557,0.22111147056968708,0.06362510034380432,0.102238661394345,0.0,0.008300385842439894,MEDIA
MIQUETLA-63,0.138376,0.1382766886512,0.9999999999999999,0.028987069112600936,0.008783676649877432,1.2438990668143692,0.13827628683752882,0.028986972016019744,0.008715708759691234,0.004123001015023562,0.13830843359375,10.0,0.012705876959305617,0.0,0.0005082590054009999,2018-11-01,555.0,2100.0,VERTICAL,1973-04-01,0.025604977969012035,0.015620991746446544,2.761855806407273e-17,5e-45,0.5,10.0,INACTIVO,0.01049355510482587,0.0049377919996518764,0.004937791999816073,0.08595919981056714,0.04203301094085642,0.04203301094085565,0.02263187117591722,0.05146599882479486,0.0,0.014144208541712546,MEDIA
MIQUETLA-65,0.101895,0.09302445196214244,0.9999999999999999,0.16563726537177131,0.01084542505149571,0.23798823197896174,0.0930232860101143,0.16563134289413023,0.010746842029195175,0.03589195578378858,0.10179549316406249,10.0,0.012240650718558836,0.0,0.0024287968338000004,2017-03-01,533.0,2101.0,VERTICAL,1973-06-01,0.032509305728977145,0.9999999999999999,2.0846776847849204e-19,5e-45,0.5,10.0,INACTIVO,0.023224197152132014,0.01814934262070292,0.0181493426358411,1.4459696862458735,1.2800434542330386,1.2800434542330386,0.04320419146285545,0.153118830020259,0.0,0.010656041262206133,MEDIA
MIQUETLA-66,0.08055,0.08011914498946579,0.07533132048141013,0.0062463588672142445,0.007126213708619354,0.20407880113055527,0.08054974027185466,0.023224275395729976,0.007385670193987424,0.003692452509173903,0.080471337890625,10.0,0.01051385639309922,0.0,0.000644094572115,2020-02-01,567.0,2120.0,VERTICAL,1973-07-01,0.0345579221801269,0.00044105934957539006,8.899606568957762e-16,5e-45,0.5,10.0,PRODUCTOR,0.008953835276631782,0.00406510710884832,0.004419999852664883,0.34860130205904266,0.24947855019689585,0.24947855019689066,0.019242231991209866,0.0860492244884484,0.0,0.020721683611923017,MEDIA
MIQUETLA-67,0.096376,0.0962818828125,0.5,10.0,inf,inf,0.0962818828125,10.0,inf,inf,0.0962818828125,10.0,inf,inf,0.096376,1973-08-01,0.0,,nan,1973-08-01,5e-45,0.5,15.0,5e-45,0.5,10.0,nan,8.858044982911344e-09,8.858044982911344e-09,8.858044982911344e-09,2.5e-89,2.5e-89,2.5e-89,0.00289128,0.0,0.0,0.0028182299999999997,MEDIA
MIQUETLA-67A,0.103572,0.1031857455694675,0.9999999999999999,0.05148583001725597,0.008996931116731133,0.2948664928214502,0.1031857493061362,0.05148583373622557,0.008951976755293424,0.00736940432928312,0.103521427734375,10.0,0.01259970382116899,0.0,0.000318264006529,2018-01-01,540.0,2116.0,VERTICAL,1973-09-01,0.015652390158207408,0.9994845777505079,1.1372106674424099e-16,5e-45,0.5,10.0,INACTIVO,0.01873279929297929,0.009471504753562445,0.009471504753562315,0.19329116332735094,0.1638914795462929,0.16389147954629257,0.03265142564572293,0.05634860511252436,0.0,0.010514324184846597,MEDIA
