pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp
CANTARELL-2135,0.901834666667,0.6850456616639052,0.9999999999999999,0.0305513002312805,0.13339966572282724,3.1048713354873954,0.685045478357275,0.03055126797250498,0.09980944257778018,0.014769424133459132,0.6014702687642256,0.014568760442660056,0.07932850429709348,0.006927982810021831,0.145686903226,2019-05-01,41.0,3598.0,DESVIADO,2016-01-01,0.267456516324715,0.9999999999999999,0.03067834125113278,5e-45,0.5,10.0,INACTIVO,1.760737100371823,1.6904432993218945,1.6904432992781184,0.267746441363614,0.2569910170317788,0.2569910170934417,0.4995302023863181,0.19480276312352998,0.0,0.17208986416591798
CANTARELL-118,3.196959,1.618328333149417,7.820025856519145e-15,5.083972829405459e-16,0.08640328827547522,0.0,1.61832833324234,2.6581683850371134e-19,0.16691774042152535,0.0035748219618934357,1.6183283334163008,7.107472785417895e-17,0.16691772529991364,0.0035748206276572034,2.0321686206900003,2020-02-01,50.0,3880.0,DIRECCIONAL,2016-01-01,0.6310912413325541,2.464185302477554e-12,3.3726625232108747e-16,5e-45,0.5,10.0,PRODUCTOR,17.54399132831497,17.543991328314952,17.543991328314952,2.6710317771168084,2.6710317771167684,2.671031777116768,2.4274924998635097,0.9466368622980598,0.0,2.1094705658232
SIHIL-16,16.12059,15.160100086297197,1.5573493507838486e-08,0.04043556306292454,1.169877652776694,0.13966225651130565,15.162417303488269,0.07877092329608648,1.7639985469368435,0.01852858943026612,15.157480197562377,0.04042733414516784,1.0499459543433731,0.004112283167587728,0.21851626666700005,2019-11-01,92.0,3820.0,DIRECCIONAL,2012-04-01,5.9813828345968485,7.116167266636021e-10,0.04046226597680858,5e-45,0.5,10.0,PRODUCTOR,655.7786723495376,655.7787350050576,930.2471602930134,102.20098876036467,102.20098678822102,145.1008322645483,10.770696160496854,4.244259045727375,0.0,9.0258352501236
SIHIL-15,7.844077,3.383383558624123,0.9999999999999994,0.018119096942021594,0.5980621553497654,1.920348859944513,3.383361290626699,0.01811866687376237,0.4472665368079866,0.007216053191263662,3.0264234894447632,0.009368098712989133,0.33890028436403125,0.0028731706888058747,0.8419044827590001,2020-02-01,92.0,3594.0,DIRECCIONAL,2012-07-01,1.3962743717145865,3.7074065701095393e-09,5.206398439019196e-22,5e-45,0.5,10.0,PRODUCTOR,120.06591150558009,117.4036707245159,117.40367070520614,45.67382395400812,45.67382395400801,45.673823954008014,4.3765926128005495,2.932176190117501,0.0,2.33221016539443
SIHIL-24,5.2928190000000015,4.131363243430361,0.9999999999999999,0.01941000785467425,0.41576381726961764,1.0394895004867872,4.131359905481101,0.019409956200451474,0.31447082049251246,0.004156869689566459,3.588368325615073,0.009388277308898085,0.24172321243529338,0.001701322278471719,1.72341862069,2020-02-01,92.0,3676.0,DIRECCIONAL,2012-07-01,1.6425902880948222,0.9999999999999999,0.020115052700617995,5e-45,0.5,10.0,PRODUCTOR,75.53791196056629,69.73598672552704,69.73598672250026,11.64541125816773,10.70992351018568,10.709923510240158,6.207006616200843,2.437427237727883,0.0,6.3746927514787535
CANTARELL-108,1.99544428571,1.0526570923924763,6.481382964465716e-08,0.0008748007118870447,0.1397908519463368,0.8308145141445479,1.0520246538451254,0.0008608513426496062,0.13948194404528716,0.004995659169749349,1.0526574022650543,0.0008748132129542728,0.1381588630216915,0.004798230412738404,0.303881290323,2019-12-01,48.0,3815.0,DIRECCIONAL,2016-01-01,0.4106403761777196,1.0422444523966738e-07,0.0008920017673107033,5e-45,0.5,10.0,PRODUCTOR,10.849209387137265,10.849209388914502,10.849492838779373,1.6501713479207543,1.6501713480338278,1.650216093278097,1.4847675512947196,0.578971327342458,0.0,2.2512053038713895
SIHIL-28,10.310116,7.120927881627989,1.6769888454793616e-09,0.02152584997385799,0.5547890140184747,0.021248456534475275,7.346647594694821,0.03571468326457253,0.8236568982593072,0.010038144042966162,7.120466174640108,0.02152217227477458,0.5521164433111451,0.0031514491332149345,0.603718275862,2020-02-01,85.0,3577.0,DIRECCIONAL,2013-02-01,2.3941881051646163,0.9298105116081644,0.01741972948827678,5e-45,0.5,10.0,PRODUCTOR,172.378468784789,172.37847002653623,196.49549717041592,179.39415723445615,26.008207762155326,26.010715934704592,6.456716336316601,2.82905975601417,0.0,0.05689124087232396
SIHIL-22,14.97536,14.65994459138066,3.755793892174321e-09,0.14026073754154247,1.053245741744414,0.04832398053700258,14.352499380386607,0.26920781988812814,1.687515380011125,0.06589050762505293,14.66167444857817,0.14029890709267784,1.0034811414123448,0.014641950628000834,0.5136506896549999,2020-02-01,84.0,3826.0,DIRECCIONAL,2013-03-01,5.785810376084087,3.2143700558456826e-08,0.1402998318129234,5e-45,0.5,10.0,PRODUCTOR,104.83473401665215,104.83475201215795,185.8422239788925,16.31824864773539,16.318263723281348,28.96703937398194,3.4865292251043596,1.37480543352879,0.0,2.538518952042984
SIHIL-17,3.966887,2.5188728582625486,0.7238020984698843,0.03774689580661942,0.6424731690904345,7.355740999795674,2.5289948465387044,0.04060820462427329,0.4936471890424397,0.030899365501143656,2.4768235773671465,0.030582534471404094,0.43223480415641036,0.017911658841567393,0.6800189999999999,2015-01-01,20.0,3094.0,DESVIADO,2013-05-01,8.927258790526391,7.734252094673821e-09,5.116003292159446e-16,5e-45,0.5,10.0,INACTIVO,15.416769854829505,15.393260321543364,15.39713421999246,968.1474072797571,968.147407279719,968.147407279753,1.1695926600000002,5.6241730500000005,0.0,0.028171019999999998
CANTARELL-128,5.034464516130001,4.435036728150084,6.71198092928078e-08,0.026342574195777763,0.45408991053476877,0.5468976908935678,4.529095487225012,0.03975767493228252,0.46222384608066835,0.010760325809500593,4.435032210077997,0.02634200721834592,0.3534850073763113,0.004163418109628309,1.97807413793,2020-02-01,50.0,4018.0,DESVIADO,2016-01-01,1.730135536437147,1.5826782848495644e-08,0.026356967263579955,5e-45,0.5,10.0,PRODUCTOR,45.329582358642185,45.329582415377104,48.21140895600074,6.897946205969893,6.897946173798313,7.336972918128295,3.73466208045456,1.4565008987567403,0.0,3.1724915247987004
SIHIL-25,8.281473,5.417709051024879,0.6517217162452005,0.13439709500393215,0.8618921616642633,0.3729997550297084,5.379596556346452,0.16996396532801208,0.8247871557495517,0.050964737871691285,5.343857930258513,0.09191998707281057,0.6473903690990257,0.01652639006410533,1.03097965517,2020-02-01,78.0,3910.0,DIRECCIONAL,2013-09-01,2.139894389913875,0.6386626758094395,0.13367316326785444,5e-45,0.5,10.0,PRODUCTOR,103.27654286876486,98.63201554462844,100.19587121707391,15.984853722052105,15.297887509121527,15.56060674444307,2.5859089450869606,1.016097634497789,0.0,0.5268631957484433
SIHIL-29,3.805723,2.6442172800138493,9.125762041757498e-08,0.10340433444552921,0.718259907985738,1.0660614471062875,2.5687297434791754,0.1522457595666835,0.7149497718375244,0.10657320654731638,2.644246574951918,0.1034067022734191,0.565124208790941,0.04003674897762142,0.097439,2015-12-01,23.0,3482.0,VERTICAL,2014-01-01,1.0435417593647969,1.3855240692231763e-07,0.10342495795854147,5e-45,0.5,10.0,INACTIVO,14.308922876267426,14.308922911202805,15.593001494164225,2.2287759192956136,2.2287759286590147,2.4286776892449167,0.65846331,0.25984248,0.0,0.43880769
CANTARELL-136,2.76219033333,1.3650035472511586,9.330810791727262e-08,1.15842130258573e-14,0.17213878227104434,0.0,1.36500354867176,1.9771013397136146e-22,0.17034041287804014,0.0043251629409606415,1.365003547446794,3.4219175656337683e-15,0.1703403974426092,0.004325161330865935,1.9350637931,2020-02-01,50.0,3800.0,DIRECCIONAL,2016-01-01,0.5322869636674461,0.9995115842197281,6.0245166271565904e-21,5e-45,0.5,10.0,PRODUCTOR,18.27085206005002,18.27085206004845,18.270852060048448,2.78018809288462,2.780188092884633,2.78018809288462,2.0475053230076394,0.7984304211216297,0.0,1.5570193278702003
CANTARELL-2177,0.597378709677,0.4052897622605069,2.7576145850854474e-10,5.14288888837234e-15,0.05567414682337123,0.0,0.4052897625415506,7.789203563014505e-17,0.06320158597201485,0.0045459960610959695,0.40528976257647525,4.587204982301168e-18,0.06320158233395083,0.004545994372979231,0.546051034483,2020-02-01,50.0,4256.0,HORIZONTAL,2016-01-01,0.15804144475068713,0.9999999999999999,1.5347384973061816e-15,5e-45,0.5,10.0,PRODUCTOR,0.6695158948942244,0.6695158948942241,0.6695158948942265,0.10176645841844092,0.10176645841844725,0.1017664584184415,0.32828470769313006,0.128013570344169,0.0,0.08066862465177001
CANTARELL-148,0.356987741935,0.20473815691158137,4.2432723140966913e-07,0.0014233572907155522,0.032932333158812215,6.578463493414281,0.20448127053990475,0.001274345843129559,0.03189341925179306,0.01698124623744639,0.20473725599468665,0.001422803542006729,0.031764981223587584,0.016642514687425888,0.07025919354839999,2017-05-01,16.0,3696.0,DIRECCIONAL,2016-01-01,0.07982936190196256,7.276580719704851e-07,0.0013742950438497697,5e-45,0.5,10.0,INACTIVO,0.06945244373522383,0.06945244372695908,0.06945677721485613,0.01057878479759779,0.010578784799422591,0.010579399812313256,0.10323637913041199,0.040268678641416006,0.0,0.0
CANTARELL-2121,1.5171258064500002,1.5170332084393527,0.5,10.0,inf,inf,1.5170332084393527,10.0,inf,inf,1.5170332084393527,10.0,inf,inf,1.5171258064500002,2017-07-01,0.0,3064.0,nan,2017-07-01,2.5055383734134087,0.5,15.0,5e-45,0.5,10.0,PRODUCTOR,8.574391575860944e-09,8.574391575860944e-09,8.574391575860944e-09,5.846941582817441e-09,5.846941582817441e-09,5.846941582817441e-09,0.04551377419350001,0.0751684451613,0.0,0.02516316774195
CANTARELL-2115DES,1.67215,1.2453616081235601,9.802304625004636e-12,1.582801941495439e-13,0.11546168962354628,0.0,1.2453616073356246,5.086814563938927e-16,0.20974658438266683,0.022020215089137013,1.2453616076443286,7.032351596790954e-18,0.20974657982539305,0.02202021295292923,1.12354241379,2020-02-01,13.0,,DIRECCIONAL,2019-01-01,0.44900382572297737,0.9999386590065196,1.2514731711031234e-17,5e-45,0.5,10.0,PRODUCTOR,2.053035872691517,2.0530358726915163,2.053035872691517,0.2669456098205834,0.2669456098205827,0.2669456098205825,0.5230518752106179,0.18858160857202438,0.0,0.08050823889945301
