pozo,Qi_hist,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,estado_actual,dias_perforacion,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua,tipo
TAJIN-355,0.000270117049066,0.000270117049066,2019-09-01,0.0,2030.0,DIRECCIONAL,2019-09-01,INACTIVO,63.0,8.10351147198e-06,4.81586275584e-05,0.0,8.703007566e-07,1.612994939838e-05,5942.933224062307,0.10739797921053007,BAJA
TAJIN-357,0.0118051633739,0.0097684315746,2020-02-01,23.0,1980.0,VERTICAL,2018-03-01,PRODUCTOR,40.0,0.0104289528687663,0.026062756915149306,0.0,0.0044839992741921,0.014772745687957847,3207.5645838422806,0.4299567635365147,BAJA
TAJIN-311,0.00345550100354,0.000601504376418,2020-02-01,5.0,1940.56,VERTICAL,2019-09-01,PRODUCTOR,43.0,0.00025145219456385,0.00065758854412503,0.0,2.9820276369780003e-05,0.000361050285251355,2905.3366847335524,0.21536258289736376,BAJA
TAJIN-302,0.0246204377537,0.0181413765068,2020-02-01,12.0,1998.0,DIRECCIONAL,2019-02-01,PRODUCTOR,46.0,0.0069812673671967,0.027795059342642998,0.0,0.0034159618461032997,0.011613777257637197,4074.1326881247805,0.47888535781264824,MEDIA
TAJIN-313,0.0080885007787,0.017852652105900004,2020-02-01,23.0,2370.0,DIRECCIONAL,2018-03-01,PRODUCTOR,39.0,0.0065804618720235,0.024022497069174,0.0,0.0032372065405563,0.0105842113835525,8088.36326887992,0.46755934651920394,BAJA
TAJIN-352,0.00622985959057,0.011836746388100002,2020-02-01,23.0,2007.0,DIRECCIONAL,2018-03-01,PRODUCTOR,68.0,0.007066314328192501,0.10503375661506004,0.0,0.004253562885105601,0.0245719404307025,16852.254856749147,0.6019507278394266,BAJA
TAJIN-374,0.008135903553439999,0.0007934361385950001,2019-04-01,13.0,2000.0,DIRECCIONAL,2018-03-01,INACTIVO,53.0,0.0022205223500773507,0.0080679687518646,0.0,0.0033695337132906003,0.00356518380872145,3817.112374779167,1.517450878984215,BAJA
TAJIN-358,0.032685852672200005,0.008237890759319999,2019-03-01,12.0,1975.0,DIRECCIONAL,2018-03-01,INACTIVO,55.0,0.0091470261861396,0.0128361323590683,0.0,0.0028853753865858,0.01128638157931765,1403.900669974166,0.33439070019954487,MEDIA
TAJIN-378,0.0122058669894,0.012126511965,2020-02-01,23.0,1950.0,VERTICAL,2018-03-01,PRODUCTOR,45.0,0.007759495257669299,0.11374968403154698,0.0,0.0043754496651611996,0.0267177759295938,15706.591386466336,0.5639900559011273,BAJA
TAJIN-101,0.0238904967068,0.019591857604,2020-02-01,23.0,3180.7,VERTICAL,2018-03-01,PRODUCTOR,133.0,0.013189843293635999,0.012250893892107,0.0,0.0032936004220155005,0.0152316589423205,931.5786890483437,0.24996394202373243,MEDIA
TAJIN-324,0.0136324140968,0.00974779852008,2020-02-01,23.0,2050.0,VERTICAL,2018-03-01,PRODUCTOR,,0.006921641133072599,0.053412186934875004,0.0,0.006547472011664999,0.0158236722888851,11663.502980425228,0.9459568965636215,BAJA
TAJIN-323,0.0185001972997,0.0157284811001,2020-02-01,15.0,2025.0,nan,2018-11-01,PRODUCTOR,,0.009264141690429,0.021086111648964,0.0,0.005964031505071799,0.012778493631922997,2282.9060992886325,0.6426927683428221,MEDIA
TAJIN-392,0.00924073404766,0.0101671429395,2020-02-01,23.0,2240.0,DIRECCIONAL,2018-03-01,INACTIVO,52.0,0.006071643795754501,0.034474215965570106,0.0,0.0018729148497294004,0.011817346456682847,5955.731112456792,0.3153468963085301,BAJA
TAJIN-82,0.0188756390597,0.0120610266249,2020-02-01,23.0,2273.0,DIRECCIONAL,2018-03-01,PRODUCTOR,38.0,0.009038173390599601,0.041844442491273004,0.0,0.007418770266252901,0.016012247139145095,4889.542846461688,0.8208248005607262,MEDIA
TAJIN-373,0.0184997201877,0.009957821824,2020-02-01,22.0,2042.0,DIRECCIONAL,2018-04-01,PRODUCTOR,31.0,0.0071244172081878,0.06469363693480198,0.0,0.003584520835737,0.017906690030654798,10768.342780835805,0.5031371129899312,MEDIA
TAJIN-394,0.008372926123630001,0.0043890427032700005,2019-12-01,21.0,2080.0,DIRECCIONAL,2018-03-01,PRODUCTOR,34.0,0.0062452972439451,0.042693213530736004,0.0,0.0026852049522033,0.013360832832401099,6867.528858630758,0.429954464666784,BAJA
TAJIN-84,0.0144233675854,0.0097684315746,2020-02-01,23.0,2193.0,DIRECCIONAL,2018-03-01,PRODUCTOR,36.0,0.0082300444724877,0.019738945106837998,0.0,0.0035385631595409002,0.0115198686569607,2440.584774158509,0.42995692056846285,BAJA
COAPECHACA-539,0.118948,0.0118616678077,2020-02-01,206.0,2202.0,DIRECCIONAL,2003-03-01,PRODUCTOR,39.0,0.1424672687930247,0.5696860931236647,0.0,0.04876793670001202,0.23741495098030235,4541.673723113348,0.46444557935817093,MEDIA
TAJIN-391,0.016927138071899998,0.0101073378021,2020-02-01,23.0,2247.0,DIRECCIONAL,2018-03-01,PRODUCTOR,41.0,0.009669406058580899,0.010956624561578998,0.0,0.0027360612866529003,0.011495510152177403,1253.9640845096667,0.2829613419975811,MEDIA
TAJIN-377,0.0137523083209,0.00971859500507,2020-02-01,23.0,2087.0,DIRECCIONAL,2018-03-01,PRODUCTOR,0.0,0.010234416746821798,0.07900358628063897,0.0,0.005528676374185801,0.023401681126928295,8721.94864412569,0.54020397763498,BAJA
TAJIN-371,0.00813498536927,0.00971859500507,2020-02-01,23.0,2160.0,DIRECCIONAL,2018-03-01,PRODUCTOR,36.0,0.0071462004063147,0.013423077592703997,0.0,0.002223252992283,0.009383380005098701,2022.2901881976732,0.23111566311058374,BAJA
TAJIN-379,0.010097349171799998,0.0118616678077,2020-02-01,23.0,2045.0,DIRECCIONAL,2018-03-01,PRODUCTOR,32.0,0.0072980600924634,0.03849226396968299,0.0,0.00129205236291315,0.013713437420743895,5581.361210194431,0.177041144520501,BAJA
TAJIN-375,0.0142539109188,0.00971859500507,2020-02-01,23.0,2128.0,DIRECCIONAL,2018-03-01,PRODUCTOR,38.0,0.007415786676728102,0.08837254615216501,0.0,0.0040059785158991995,0.0221445443687556,11850.79825766423,0.5401976697463752,BAJA
COAPECHACA-559,0.088147,0.009801923454639998,2020-02-01,204.0,2100.0,DIRECCIONAL,2003-05-01,PRODUCTOR,26.0,0.1489965056528226,0.3656372989177649,0.0,0.06064845032055752,0.2099360554724502,3835.524088007804,0.6302647000771745,MEDIA
TAJIN-398,0.013936123534,0.0101671429395,2020-02-01,23.0,2150.0,DIRECCIONAL,2018-03-01,PRODUCTOR,15.0,0.007993947057591298,0.035082890567726996,0.0,0.0038137762973702986,0.013841095485545803,4964.543133576532,0.4302259236031059,BAJA
TAJIN-393,0.0134564944586,0.00639546320709,2019-12-01,21.0,2159.0,DIRECCIONAL,2018-03-01,PRODUCTOR,48.0,0.007246805854650899,0.011377602052551299,0.0,0.00247448795969922,0.00914307286340945,1841.8887503706078,0.31521225911550194,BAJA
TAJIN-61,0.00026580778557900003,0.00026580778557900003,2019-11-01,0.0,2172.0,DIRECCIONAL,2019-11-01,INACTIVO,34.0,7.974233567370001e-06,1.9696780175429996e-05,0.0,0.0,1.1257030263275e-05,2470.0530789601935,0.0,BAJA
TAJIN-399,0.00941579080843,0.0101671429395,2020-02-01,23.0,2135.0,DIRECCIONAL,2018-03-01,PRODUCTOR,23.0,0.0070307114506539,0.013279183372091405,0.0,0.0032628362222964597,0.0092439086793358,1926.2397468817298,0.4295742949117347,BAJA
TAJIN-397,0.0128937962094,0.012943878532399998,2020-02-01,23.0,2137.0,DIRECCIONAL,2018-03-01,PRODUCTOR,30.0,0.0084578738575626,0.08210342804345702,0.0,0.0036365606559792,0.022141778531472103,9241.828627337496,0.42996211018368147,BAJA
TAJIN-396,0.0179029333804,0.00986806082689,2020-02-01,23.0,2068.0,DIRECCIONAL,2018-03-01,PRODUCTOR,15.0,0.009649465093830899,0.043766301953426984,0.0,0.0079204389883353,0.016943848752735403,4859.480823407067,0.8208139375145042,MEDIA
TAJIN-395,0.0113632582255,0.0101671429395,2020-02-01,23.0,2199.0,DIRECCIONAL,2018-03-01,PRODUCTOR,17.0,0.008730457991588099,0.021139959525945003,0.0,0.0038864181719960996,0.012253784579245598,2619.705099692851,0.4285499380310183,BAJA
TAJIN-67,0.0129983520389,0.00830615552789,2020-02-01,12.0,1920.0,DIRECCIONAL,2019-02-01,PRODUCTOR,15.0,0.0035339323940562005,0.011582722411868095,0.0,0.00070925767562328,0.00546438612936755,3248.8289518896217,0.20069713678637038,BAJA
TAJIN-62,0.0187917977483,0.0118616678077,2020-02-01,23.0,1981.0,DIRECCIONAL,2018-03-01,PRODUCTOR,43.0,0.011459852120088898,0.019860246650246997,0.0,0.004927227728924102,0.014769893228463398,1913.3205106763016,0.4299553679739829,MEDIA
TAJIN-5,0.0263049501673,0.0118616678077,2020-02-01,23.0,2041.0,DIRECCIONAL,2018-03-01,PRODUCTOR,10.0,0.012197436736229519,0.04515700763291969,0.0,0.005244339725994601,0.01972360467504947,3904.5464755604266,0.4299536612664096,MEDIA
TAJIN-47,0.0252194018508,0.0118616678077,2020-02-01,23.0,1973.0,DIRECCIONAL,2018-03-01,PRODUCTOR,20.0,0.012011438990241,0.033848857989084,0.0,0.005166219997448403,0.017652915321755003,3070.53389593085,0.4301573319937673,MEDIA
TAJIN-45,0.0176728600891,0.018050468184,2020-02-01,23.0,2069.0,DIRECCIONAL,2018-03-01,PRODUCTOR,13.0,0.008615197416262233,0.03782657704513401,0.0,0.0024719656343790003,0.01491962692378457,4810.60244249578,0.2869313178744684,MEDIA
TAJIN-43,0.0127096584184,0.009977758959629998,2020-02-01,23.0,1914.0,DIRECCIONAL,2018-03-01,PRODUCTOR,14.0,0.0073550267028802485,0.04718152948566362,0.0,0.0022039156398884997,0.015218614950490846,6446.515265373775,0.29965298157828635,BAJA
TAJIN-353,0.0129581036851,0.009967815469969998,2020-02-01,23.0,2007.0,DIRECCIONAL,2018-03-01,PRODUCTOR,18.0,0.0085637695206477,0.048500819781942005,0.0,0.0071170551233199,0.016647239484304698,5748.946349238959,0.8036542093049048,BAJA
TAJIN-10,0.00348872287541,0.00348872287541,2018-05-01,2.0,2035.0,DIRECCIONAL,2018-03-01,INACTIVO,28.0,0.00031384441279139994,0.0035526853942830002,0.0,0.0001349393158845,0.0009059586451719001,11319.893629649081,0.4299560877053918,BAJA
TAJIN-25,0.0190185066092,0.0131574813109,2020-02-01,23.0,1973.0,DIRECCIONAL,2018-03-01,PRODUCTOR,10.0,0.00967061618461908,0.015111124676094446,0.0,0.006467913913823103,0.012189136963968155,1779.143998413996,0.6688207837773174,MEDIA
TAJIN-86,0.0173824472363,0.0173824472363,2020-02-01,3.0,1992.0,DIRECCIONAL,2019-11-01,INACTIVO,21.0,0.00102525185504871,0.0019027987955948999,0.0,6.640960409939999e-05,0.00134238498764786,2253.5030758971166,0.07984786489124551,MEDIA
TAJIN-33,0.0127518483744,0.0072790670269199985,2018-05-01,2.0,1930.0,VERTICAL,2018-03-01,PRODUCTOR,28.0,0.0009063816650016,0.006565103881034999,0.0,0.0002113583126853,0.0020005656451741,7319.269240649468,0.2331890621676457,BAJA
